manufacturer,glider,max_depth_m,endurance_days,speed_kt,mass_kg,real_time_comms,acoustic_sensor,ice_capable,capacity_wh_min,capacity_wh_max,battery_type_primary,range_raw,deployment_length_raw,depth_raw,comms_raw,sensors_raw,website
Teledyne Marine,Slocum G3,1000.0,50.0,2.0,70.0,yes,yes,yes,2520.0,12500.0,Alkaline,350-1200 km,15-50 days,"4 - 150 m
40 - 1000 m","RF Modem, Iridium (RUDICS), integrated ARGOS, optional Acoustic
Modem","Over 50 sensor options, incl.: ADCP; acoustic modem; optical transmission; passive acoustic monitoring / hydrophones; beam attenuation; CTD (pumped or unpumped); echosounder; fish-tag detection; nitrate; optical backscatter, attenuation and fluorometry; oxygen; PAR; radiometer; particle size; particle/biology imaging; turbidity; turbulence; custom integrations (wet payload / backseat driver capable)",https://www.teledynemarine.com/en-us/products/SiteAssets/Webb%20Research/SlocumG3S%20Brochure%202025%20-%20digital.pdf
Teledyne Marine,Slocum Sentinel,1000.0,730.0,3.5,171.0,yes,yes,no,23000.0,23000.0,Lithium primary,,> 2 years (vendor claim),Up to 1000 m (depth rating),Uses the Slocum communications architecture (Iridium; RF / ARGOS integrated),"Up to 8 sensor/hardware integrations; same catalogue as Slocum (ADCP, acoustic modem, PAM/hydrophones, CTD, echosounder, fish-tag detection, nitrate, optics, oxygen, PAR, radiometer, turbidity, turbulence, custom) - pitched at high-power payloads (active/passive acoustics, onboard processing, imaging)",https://www.teledynemarine.com/slocum-sentinel-glider
APL UW,Seaglider M1,1000.0,300.0,0.8,53.0,yes,yes,no,4722.0,5250.0,Lithium primary,"4,600 km (650 dives to 1 km) [Kongsberg]; up to 6,000 km [1KA guide]",Up to 10 months (mission dependent),50 - 1000 m (practical shallow limit ~50-75 m; most efficient deep),"Iridium (RUDICS / dial-up); acoustic transponder; optional Argos tag, optional acoustic modem","CTD (Sea-Bird CT sail, GPCTD); DO (Aanderaa optode, Sea-Bird); fluorescence/backscatter (WET Labs ECO puck, SeaOWL, Turner Cyclops); PAR; echosounder (Imagenex 853, 120 kHz); ADCP; passive acoustic monitoring; microstructure turbulence; pCO2 optode. 4 serial + 1 frequency sensor channels",https://iop.apl.washington.edu/seaglider.php
APL UW,SGX,1000.0,660.0,0.8,72.7,yes,yes,no,8625.0,8625.0,Lithium primary,,"12 months nominal (SGX doc); IOP reports year-plus Seaglider missions, longest 22 months under ice",Rated 1000 m; UW guidance: stay deeper than 200 m offshore and 75 m coastal,"Iridium 9523 (RUDICS; PSTN dial-up for testing), optional acoustic modem","Standard: RBR Legato CTD, optics, oxygen optode. Optional: microstructure, passive acoustics, irradiance (OCR-504), ADCP (Nortek Signature1000), WET Labs triplet; scicon science controller",https://iop.apl.washington.edu/iopsg/SGX_documentation_2024-v1.0.pdf
Alseamar,SeaExplorer 200,200.0,75.0,1.0,65.0,yes,yes,no,,,Rechargeable Li-Ion,1350 km,75 days,200 m,"Satellite (Iridium), Radio triple antenna","Modular nose payloads (shared with SE1000): RBR Legato/CODA ODO/Tridente, Sea-Bird GPCTD/SBE43F/SUNA/UBAT, JFE Rinko AROD, Nortek AD2CP, WET Labs ECO (FLBBCD, FLNTU...), SeaOWL, Biospherical PAR, Rockland MR1000G microstructure, UVP6, Imagenex echosounder, Franatech METS methane, Pro-Oceanus Mini-CO2, ANB pH, lab-on-chip, PAM (Alseamar AURIS 4-hydrophone, Turbulent Research Porpoise)",https://www.alseamar-alcen.com/ocean-science-sector/seaexplorer-gliders/seaexplorer-200/
Alseamar,SeaExplorer 1000,1000.0,125.0,1.0,59.0,yes,no,no,,,Rechargeable Li-ion,2700 km,125 days,1000 m,"Satellite (Iridium), Radio triple antenna",Same modular payload catalogue as SeaExplorer 200; up to 6 sensors in a wet + dry bay (max 9 L / 8 kg); end-user sensor API; altimeter fitted,https://www.alseamar-alcen.com/ocean-science-sector/seaexplorer-gliders/seaexplorer-1000/
MRV/General Oceans,Spray,1500.0,,0.6803440000000001,51.8,yes,no,no,3611.0,3611.0,Lithium primary,"4,700 km at 19 deg glide / 3,500 km at 25 deg (1000 m ops)",Several months (~815 cycles to 1000 m),Max 1500 m; typical operations to 1000 m,"Iridium (two-way, ~100 bytes/s); combined GPS/Iridium antennas in each wing (glider rolls 90 deg at surface)",CTD (PME; Sea-Bird 41CP pumped); Seapoint optical backscatter and chlorophyll fluorometer; Tritech altimeter; Sontek Argonaut 750 kHz ADCP,https://spraydata.ucsd.edu/about/spray-glider
MRV/General Oceans,Spray2,1000.0,,,70.0,yes,no,no,,,,,100+ days; 500+ profiles to 1000 m per mission,1000 m rating,Iridium 9523 modem - RUDICS or SBD,"Standard: Sea-Bird GPCTD. Supported: Seapoint chlorophyll fluorometer, SBE-63 DO, Nortek AD2CP. Connections for 8 RS-232 sensors, up to 1 Hz",https://www.mrvsys.com/products/spray2
Hefring/General Oceans,Ocean Scout,200.0,30.0,,22.5,yes,yes,no,1200.0,1200.0,Lithium primary (Li-MnO2),,~1 month (spec sheet),200 m operational; can work in very shallow water (<6 m),Iridium SBD; Wi-Fi 802.11abg (high-gain antenna); Ethernet; LED strobe,"Standard: JFE CT (ACTD-OEMU-Z105), Keller PA-7LH pressure, Nortek altimeter. OceanScout-PAM: HTI-92-WB hydrophone, 2 Hz-50 kHz, 2 TB storage, up to 250 kSPS, 24-bit; underway or hover modes",https://www.hefring.com/oceanscout
Tianjin University (China),Petrel / Haiyan (original),1500.0,30.0,,70.0,no,no,no,,,,"Up to 1,000 km",~30 days,Up to 1500 m,,,https://en.tju.edu.cn/info/1011/4092.htm
Tianjin University (China),Petrel-II (hybrid),1500.0,,3.3628432,69.0,no,no,no,,,,"1,108.4 km sailed in sea trial",,"Up to 1500 m (dived 1,514.2 m in trials)",,,
Tianjin University (China),Petrel-L (long range),,141.0,,,no,no,no,,,,"3,619.6 km record (Nov 2018); earlier 2,272.4 km",141 days record (Nov 2018); earlier 119 days / 862 profiles,,,,
Tianjin University (China),Petrel-X / Haiyan-X (hadal),10619.0,,,,no,no,no,,,,,,"10,000 m class: 8,213 m (Apr 2018); 10,619 m world record (Mariana Trench, Jul 2020)",,,
Exocetus Autonomous Systems,MOD2 Glider,200.0,10.0,2.0,109.0,yes,yes,no,3850.0,11000.0,Alkaline,,~10 days (estimate),10 - 200 m,"Iridium (SBD and RUDICS); RF (900 MHz, 460 MHz, others); Wi-Fi 802.11n","6 sensor mounting points / 5 external connectors (1 fwd, 4 aft); AML X-Change / Smart-X field-swappable sensor heads (up to 11 at once); acoustic altimeter standard; watertight electronics bay 8.6 L for user electronics or a third-party science computer; nominal payload 5 kg",https://www.exocetus.co/products
Helsing,SG-1 Fathom (with Lura AI),,90.0,2.0,60.0,no,yes,no,,,,,Up to 3 months,,,"Passive acoustic sensing processed on board by Lura, Helsing's 'large acoustic model' (detect, classify, localise vessels and submarines)",https://helsing.ai/lura
